	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
13297	SEAT  Ibiza	Ibiza 1.2 12V Reference 	Tipp Autó	(Debrecen)	Márkakereskedő	2010. 01.	116 749 km	1 649 000 Ft	116 749 km	69 LE	1198 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13298	OPEL  Corsa	Corsa 1.2 Cosmo Easytronic 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2009. 02.	170 389 km	1 649 000 Ft	170 389 km	80 LE	1229 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13299	MERCEDES-BENZ  C-osztály	C 220 T CDI Classic (Automata) 	Borongics Kft.	(Balatonboglár)	Márkakereskedő	2007. 01.	361 000 km	1 650 000 Ft	361 000 km	150 LE	2148 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13300	FIAT  Panda	Panda 1.2 4x4 Climbing 	Korekt-Autó Kft.	(Sopron)	Minősített Prémium kereskedő	2009. 10.	207 000 km	1 680 000 Ft	207 000 km	60 LE	1242 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	4 fő	Manuális
13301	SEAT  Leon	Leon 1.4 TSI Stylance 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2008. 02.	139 500 km	1 689 000 Ft	139 500 km	125 LE	1390 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13302	HONDA  Jazz	Jazz 1.4 ES My. 2005 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2006. 11.	104 300 km	1 690 000 Ft	104 300 km	83 LE	1339 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13303	SUZUKI  Splash	Splash 1.0 GLX CD AC 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2008. 11.	80 900 km	1 690 000 Ft	80 900 km	65 LE	996 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13304	BMW  3-as sorozat	3-AS SOROZAT 320i Touring (Automata) Xenon Panoráma Tempomat Radar Ülésfűtés KeylessGo	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2006. 01.	271 651 km	1 690 000 Ft	271 651 km	147 LE	1995 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13305	FORD  Transit	Transit 2.2 TDCi 280 S 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2006. 09.	247 343 km	1 690 000 Ft	247 343 km	110 LE	2198 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	6 fő	Manuális
13306	RENAULT  Laguna	LAGUNA 1.5 dCi Expression Magyar Navi Tempomat 4el ablak Félbőr	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2012. 02.	313 593 km	1 690 000 Ft	313 593 km	108 LE	1461 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13307	VOLKSWAGEN  Fox	Fox 1.2 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2012. 04.	154 914 km	1 699 000 Ft	154 914 km	60 LE	1198 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
13308	MERCEDES-BENZ  A-osztály	A 200 CDI Elegance 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2006. 02.	216 187 km	1 699 000 Ft	216 187 km	140 LE	1991 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13309	OPEL  Meriva	Meriva 1.4 Enjoy 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2007. 05.	117 939 km	1 699 000 Ft	117 939 km	90 LE	1364 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13310	FORD  Focus	Focus 1.6 TDCi Trend DPF 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2008. 12.	268 013 km	1 699 000 Ft	268 013 km	101 LE	1560 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13311	VOLKSWAGEN  Fox	Fox 1.2 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2012. 04.	154 914 km	1 699 000 Ft	154 914 km	60 LE	1198 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
13312	TOYOTA  Aygo	Aygo 1.0 Cool 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2012. 06.	117 000 km	1 699 000 Ft	117 000 km	68 LE	998 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	4 fő	Manuális
13313	MERCEDES-BENZ  A-osztály	A 200 CDI Elegance 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2006. 02.	216 187 km	1 699 000 Ft	216 187 km	140 LE	1991 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13314	SEAT  Altea	Altea 1.6 MPI Reference 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2008. 12.	266 000 km	1 699 000 Ft	266 000 km	102 LE	1595 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13315	HONDA  Jazz	Jazz 1.2 Trend Plus 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2009. 12.	182 000 km	1 699 000 Ft	182 000 km	90 LE	1198 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13316	VOLKSWAGEN  Golf	Golf 1.4 Trendline 	Prémium Német Autó	(XXII. kerület)	Minősített Prémium kereskedő	2009. 01.	154 000 km	1 699 000 Ft	154 000 km	80 LE	1390 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13317	RENAULT  Scénic	Scénic 1.6 16V Authentique 	L.P.L Autó Kft.	(Botykapeterd)	Minősített Prémium kereskedő	2010. 06.	175 000 km	1 748 000 Ft	175 000 km	110 LE	1598 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13318	FORD  S-Max	S-Max 1.8 TDCi Titanium 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2007. 03.	193 842 km	1 750 000 Ft	193 842 km	125 LE	1753 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13319	SKODA  Fabia	Fabia Combi 1.4 16V Cool 	B-A Autókereskedés és Autókölcsönző	(Keszthely)	Minősített Prémium kereskedő	2010. 01.	155 150 km	1 780 000 Ft	155 150 km	86 LE	1390 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13320	HONDA  Jazz	Jazz 1.4 Elegance 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2007. 12.	123 500 km	1 785 000 Ft	123 500 km	99 LE	1339 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13322	HONDA  Jazz	Jazz 1.4 LS My. 2005 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2007. 08.	90 300 km	1 790 000 Ft	90 300 km	83 LE	1339 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13323	OPEL  Meriva	MERIVA 1.4 Enjoy Tempomat Vonóhorog Multikormány Megkímélt!	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2011. 12.	250 933 km	1 790 000 Ft	250 933 km	99 LE	1398 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13324	SUBARU  Impreza	IMPREZA Sport 1.5 R Active Ülésfűtés Tolatókamera Navigáció Csinos!	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2008. 01.	128 409 km	1 790 000 Ft	128 409 km	103 LE	1498 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13325	RENAULT  Laguna	Laguna 2.0 dCi Dynamique 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2008. 09.	185 234 km	1 790 000 Ft	185 234 km	150 LE	1995 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13326	PEUGEOT  308	308 1.4 VTi Confort 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2010. 03.	131 621 km	1 790 000 Ft	131 621 km	95 LE	1397 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13327	OPEL  Corsa	CORSA D 1.2 Cosmo Tempomat Multikormány Klíma ABS Légzsákok	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2011. 06.	131 881 km	1 790 000 Ft	131 881 km	84 LE	1229 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13328	FORD  Fiesta	FIESTA 1.6 TDCi Titanium Multikormány Klíma Alufelni	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2010. 05.	91 831 km	1 790 000 Ft	91 831 km	88 LE	1560 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13329	FIAT  Punto	Punto 1.4 Young S&S EU6 	Leskó Car & Garage Kft.	(Keszthely)	Minősített Prémium kereskedő	2015. 09.	89 400 km	1 790 000 Ft	89 400 km	78 LE	1368 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13330	AUDI  A4	A4 1.9 PD TDi DPF 	Leskó Car & Garage Kft.	(Keszthely)	Minősített Prémium kereskedő	2006. 03.	340 600 km	1 790 000 Ft	340 600 km	116 LE	1896 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
13331	FORD  Fiesta	Fiesta Van 1.5 TDCi Trend 	Cartecum - Autoalegjobbaron.hu	(Budaörs)	Minősített Prémium kereskedő	2014. 11.	178 877 km	1 795 000 Ft  + Áfa	178 877 km	75 LE	1498 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
13332	VOLKSWAGEN  Passat	Passat Variant 2.0 PD TDI Comfortline 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2006. 05.	258 265 km	1 799 000 Ft	258 265 km	140 LE	1968 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13333	VOLKSWAGEN  Transporter	Transporter 1.9 TDI 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2004. 07.	446 491 km	1 799 000 Ft	446 491 km	86 LE	1896 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	6 fő	Manuális
13334	VOLKSWAGEN  Passat	Passat Variant 2.0 PD TDI Comfortline 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2006. 05.	258 265 km	1 799 000 Ft	258 265 km	140 LE	1968 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13335	VOLKSWAGEN  Transporter	Transporter 1.9 TDI 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2004. 07.	446 491 km	1 799 000 Ft	446 491 km	86 LE	1896 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	6 fő	Manuális
13336	FORD  Mondeo	Mondeo 1.8 TDCi Trend 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2010. 08.	281 000 km	1 799 000 Ft	281 000 km	125 LE	1753 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13337	VOLKSWAGEN  Passat	Passat 2.0 CR TDI Comfortline DSG 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2008. 05.	381 971 km	1 849 000 Ft	381 971 km	140 LE	1968 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Fokozatmentes
13338	HYUNDAI  i30	i30 1.4 DOHC Classic PLUS 	Tipp Autó	(Debrecen)	Márkakereskedő	2009. 05.	124 967 km	1 890 000 Ft	124 967 km	109 LE	1396 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13339	CITROEN  C4 Picasso	C4 Grand Picasso 1.6 VTi Collection 	MOM Auto Kft.	(III. kerület)	Minősített Prémium kereskedő	2012. 01.	141 000 km	1 890 000 Ft	141 000 km	120 LE	1598 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13340	FORD  Mondeo	Mondeo 1.8 TDCi Trend 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2009. 11.	251 140 km	1 890 000 Ft	251 140 km	125 LE	1753 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13341	CITROEN  C-Elysée	C-ELYSEE C-Elysée 1.6 HDi Exclusive Magyar Tempomat Digitklíma Bluetooth Megkímélt	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2013. 11.	225 206 km	1 890 000 Ft	225 206 km	91 LE	1560 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13342	DACIA  Duster	DUSTER 1.5 dCi Cool 105 LÓERŐ - KIS FOGYASZTÁS - AKCIÓS ÁR!	Roland-Autó Kft.	(Edelény)	Minősített Prémium kereskedő	2012. 01.	309 862 km	1 898 000 Ft	309 862 km	103 LE	1461 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13343	RENAULT  Scénic	Grand Scénic 1.6 dCi Stop&Start Privilege (7 személyes ) 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2012. 01.	245 832 km	1 899 000 Ft	245 832 km	131 LE	1598 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
13344	VOLKSWAGEN  Jetta	Jetta 1.6 FSI Comfortline 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2006. 04.	152 996 km	1 899 000 Ft	152 996 km	116 LE	1598 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13345	TOYOTA  Rav4	Rav4 2.0 D-4D 4x4 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2004. 02.	265 987 km	1 899 000 Ft	265 987 km	116 LE	1995 cm3	Dízel	Crossover	Használt	Eladó	3 ajtós	4 fő	Manuális
13346	OPEL  Corsa	Corsa 1.3 CDTI Enjoy Easytronic 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2007. 12.	177 891 km	1 899 000 Ft	177 891 km	90 LE	1248 cm3	Dízel	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13347	CITROEN  C4 Grand Picasso	C4 Grand Picasso 1.6 VTi Dynamique (5 személyes ) 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2011. 11.	190 952 km	1 899 000 Ft	190 952 km	120 LE	1598 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13348	FORD  C-Max	C-Max 1.6 TDCi Ambiente 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2009. 02.	155 000 km	1 899 000 Ft	155 000 km	90 LE	1560 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13349	VOLKSWAGEN  Passat	Passat Variant 2.0 FSI Sportline 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2006. 04.	267 030 km	1 899 000 Ft	267 030 km	150 LE	1984 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13350	SUZUKI  Swift	Swift 1.3 GS ACC 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2010. 04.	148 000 km	1 899 000 Ft	148 000 km	92 LE	1328 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13351	KIA  Cee'd	Pro Cee'd 1.4 LX 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2010. 02.	105 000 km	1 899 000 Ft	105 000 km	90 LE	1396 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13352	FORD  Fiesta	Fiesta 1.4 Trend 	Origi Autó	(Nyíregyháza)	Minősített Prémium kereskedő	2009. 11.	200 000 km	1 899 000 Ft	200 000 km	97 LE	1388 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13353	FORD  Focus	Focus 1.6 Fresh 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2009. 02.	155 084 km	1 899 000 Ft	155 084 km	101 LE	1596 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13354	RENAULT  Scénic	Grand Scénic 1.6 16V Authentique 	Vértes Autó	(Vértesszőlős)	Minősített Prémium kereskedő	2009. 11.	251 000 km	1 990 000 Ft	251 000 km	110 LE	1598 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
13355	MERCEDES-BENZ  A-osztály	A 170 Elegance Autotronic 	Zemandia Autoland	(Kiskunfélegyháza)	Minősített Prémium kereskedő	2008. 01.	127 488 km	1 990 000 Ft	127 488 km	116 LE	1699 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13356	FORD  Focus	Focus 2.0 TDCi Ghia 	Bázis Autó	(Hódmezővásárhely)	Minősített Prémium kereskedő	2010. 07.	164 650 km	1 990 000 Ft	164 650 km	136 LE	1997 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13357	HONDA  Civic	Civic 1.4 Comfort VSA 	Zemandia Autoland	(Kiskunfélegyháza)	Minősített Prémium kereskedő	2008. 06.	168 849 km	1 990 000 Ft	168 849 km	83 LE	1339 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13358	RENAULT  Clio	Clio Société 1.5 dCi Business 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2015. 08.	196 500 km	1 990 000 Ft	196 500 km	75 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
13359	PEUGEOT  308	308 SW 1.6 HDi Access MO-i gépjármű/Garantált km/Első tulajtól/ÁFÁ-S/Garanciával!	Business Lease Hungary Kft.	(Budaörs)	Minősített Prémium kereskedő	2015. 04.	278 235 km	1 990 000 Ft	278 235 km	91 LE	1560 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13360	FORD  Focus	Focus 1.6 TDCi Trend 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2010. 10.	140 958 km	1 990 000 Ft	140 958 km	90 LE	1560 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13361	VOLVO  C30	C30 1.6 D 	Tipp Autó	(Debrecen)	Márkakereskedő	2011. 11.	273 346 km	1 990 000 Ft	273 346 km	116 LE	1560 cm3	Dízel	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
13362	MAZDA  Mazda 3	Mazda 3 Sport 1.6 D TX Plus 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2010. 07.	204 500 km	1 990 000 Ft	204 500 km	109 LE	1560 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13363	TOYOTA  Avensis Verso	Avensis Verso 2.0 D-4D 	Velorex 2000 Bt.	(Szekszárd)	Minősített Prémium kereskedő	2002. 04.	286 049 km	1 990 000 Ft	286 049 km	116 LE	1995 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	7 fő	Manuális
13364	LEXUS  IS	IS 200 Executive 	MOM Auto Kft.	(III. kerület)	Minősített Prémium kereskedő	1999. 07.	184 000 km	1 990 000 Ft	184 000 km	155 LE	1988 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13365	BMW  1-es sorozat	130i Klíma Multikormány Alufelni hat henger!	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2006. 03.	266 893 km	1 990 000 Ft	266 893 km	261 LE	2996 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13366	FORD  Focus	FOCUS 1.6 TDCi Titanium DPF Digit-Klíma!SONY HIFI!Mo-i!1.Tulaj!154.478Km!Szervizkönyv!	Opticar '99 Kft.	(Szigetszentmiklós)	Márkakereskedő	2011. 02.	154 478 km	1 990 000 Ft	154 478 km	107 LE	1560 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13367	AUDI  A3	A3 2.0 PD TDI Ambiente 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2009. 08.	244 500 km	1 990 000 Ft	244 500 km	136 LE	1968 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	3 ajtós	5 fő	Manuális
13368	CITROEN  C3 Picasso	C3 Picasso 1.6 VTi Exclusive 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2009. 10.	122 500 km	1 990 000 Ft	122 500 km	120 LE	1598 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13369	OPEL  Meriva	Meriva 1.3 CDTI EcoFlex Enjoy 	Tormási Autóház	(Kecskemét)	Márkakereskedő	2012. 03.	145 081 km	1 990 000 Ft	145 081 km	106 LE	1248 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13370	NISSAN  Note	NOTE 1.4 Acenta EU5 Multikormány Klíma Kartámasz	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2013. 02.	119 064 km	1 990 000 Ft	119 064 km	87 LE	1386 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13371	SMART  Fortwo	MAGYAR// KLÍMÁS// F1 VÁLTÓ// PANORÁMA TETŐ	Cartecum - Autoalegjobbaron.hu	(Budaörs)	Minősített Prémium kereskedő	2008. 07.	119 132 km	1 995 000 Ft	119 132 km	71 LE	999 cm3	Benzin	Kupé	Használt	Eladó	2 ajtós	2 fő	Manuális
13372	SUZUKI  Grand Vitara	GRAND VITARA 1.9 DDiS JLX-A ESP KAPCSOLHATÓ ÖSSZKERÉK - MAGÁNSZEMÉLYTŐL!	Roland-Autó Kft.	(Edelény)	Minősített Prémium kereskedő	2006. 01.	244 737 km	1 998 000 Ft	244 737 km	127 LE	1870 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13373	CHEVROLET  Cruze	Cruze 1.6 LS Plus 	L.P.L Autó Kft.	(Botykapeterd)	Minősített Prémium kereskedő	2009. 06.	122 000 km	1 998 000 Ft	122 000 km	113 LE	1598 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13374	BMW  3-as sorozat	320d Dupla Digit-Klíma!Ülésfűtés!Fabetét!Mo-i!Vezetett szervizkönyves!	Opticar '99 Kft.	(Szigetszentmiklós)	Márkakereskedő	2009. 07.	239 712 km	1 998 000 Ft	239 712 km	174 LE	1995 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13375	VOLVO  S80	S80 2.0 D Summum 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2008. 09.	522 231 km	1 999 000 Ft	522 231 km	136 LE	1997 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13376	HYUNDAI  Elantra	Elantra 1.6i Comfort 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2012. 05.	389 339 km	1 999 000 Ft	389 339 km	132 LE	1591 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13377	PEUGEOT  5008	5008 1.6 HDi Confort 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2011. 06.	244 285 km	1 999 000 Ft	244 285 km	112 LE	1560 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13378	MITSUBISHI  L 200	L 200 Pick Up 2.5 TDI DK GL Invite 4WD 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2004. 04.	264 123 km	1 999 000 Ft	264 123 km	116 LE	2477 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	5 fő	Manuális
13379	OPEL  Corsa	Corsa 1.2 Enjoy 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2012. 03.	123 183 km	1 999 000 Ft	123 183 km	69 LE	1229 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13380	BMW  3-as sorozat	318d Touring 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2008. 12.	229 101 km	1 999 000 Ft	229 101 km	143 LE	1995 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13381	AUDI  A3	A3 1.9 PD TDI Attraction 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2009. 01.	379 607 km	1 999 000 Ft	379 607 km	105 LE	1896 cm3	Dízel	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13382	OPEL  Zafira	Zafira 1.6 Enjoy CNG 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2013. 08.	194 000 km	1 999 000 Ft	194 000 km	150 LE	1598 cm3	Benzin/Gáz	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
13383	FIAT  500	500C 1.2 8V Lounge 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2010. 07.	159 353 km	1 999 000 Ft	159 353 km	69 LE	1242 cm3	Benzin	Kabrió	Használt	Eladó	2 ajtós	4 fő	Manuális
13384	CHEVROLET  Captiva	Captiva 2.4 LS 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2006. 11.	224 650 km	1 999 000 Ft	224 650 km	136 LE	2405 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13385	FIAT  Scudo	Scudo 2.0 Mjet L2H2 	Leskó Car & Garage Kft.	(Keszthely)	Minősített Prémium kereskedő	2008. 12.	307 163 km	1 999 000 Ft	307 163 km	120 LE	1997 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13386	SUZUKI  Swift	Swift 1.2 GLX AC ESP 	Glass Kft.	(Békéscsaba)	Márkakereskedő	2012. 05.	240 770 km	1 999 000 Ft	240 770 km	94 LE	1242 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13387	KIA  Cee'd	Cee'd 1.4 LX Plus 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2009. 01.	157 756 km	1 999 000 Ft	157 756 km	109 LE	1396 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13388	OPEL  Zafira	Zafira 1.6 Enjoy CNG 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2013. 08.	194 000 km	1 999 000 Ft	194 000 km	150 LE	1598 cm3	Benzin/Gáz	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	7 fő	Manuális
13389	HYUNDAI  i20	i20 1.25 DOHC Classic AC 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2012. 03.	103 000 km	1 999 000 Ft	103 000 km	78 LE	1248 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
